TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,IS_PRIMARY_KEY,IS_FOREIGN_KEY,FK_REFERENCES
cities,name,varchar,50,NO,,NO,NO,
cities,description,varchar,500,YES,,NO,NO,
cities,posX,float,,YES,,NO,NO,
cities,posY,float,,YES,,NO,NO,
cities,img,varchar,50,YES,,NO,NO,
cities,population,varchar,50,YES,,NO,NO,
cities,area,varchar,50,YES,,NO,NO,
cities,country,varchar,50,YES,,NO,NO,
cities,continent,varchar,50,YES,,NO,NO,
cities,founded,varchar,50,YES,,NO,NO,
cities,food,varchar,50,YES,,NO,NO,
cities,manMadeLandmark,varchar,50,YES,,NO,NO,
cities,naturalLandmark,varchar,50,YES,,NO,NO,
cities,person,varchar,50,YES,,NO,NO,
cities,export,varchar,50,YES,,NO,NO,
cities,elevation,varchar,50,YES,,NO,NO,
cities,religion,varchar,50,YES,,NO,NO,
cities,time,varchar,50,YES,,NO,NO,
cities,biome,varchar,50,YES,,NO,NO,
cities,language,varchar,50,YES,,NO,NO,
cities,id,int,,NO,,YES,NO,
citiesTest,name,varchar,50,NO,,YES,NO,
citiesTest,description,varchar,50,YES,,NO,NO,
citiesTest,posX,float,,YES,,NO,NO,
citiesTest,posY,float,,YES,,NO,NO,
question_templates,id,int,,NO,,YES,NO,
question_templates,template_text,nvarchar,500,NO,,NO,NO,
question_templates,city_fact_column,nvarchar,100,NO,,NO,NO,
question_templates,category,nvarchar,50,YES,,NO,NO,
questions,field,varchar,50,NO,,YES,NO,
questions,question,varchar,500,YES,,NO,NO,
quiz_scores,id,int,,NO,,YES,NO,
quiz_scores,auth0_id,nvarchar,255,NO,,NO,NO,
quiz_scores,city_name,nvarchar,100,NO,,NO,NO,
quiz_scores,score,int,,NO,,NO,NO,
quiz_scores,completed_at,datetime,,YES,(getdate()),NO,NO,
users,id,int,,NO,,YES,NO,
users,auth0_id,nvarchar,255,NO,,NO,NO,
users,username,nvarchar,100,NO,,NO,NO,
users,totalScore,int,,YES,((0)),NO,NO,
users,showOnLeaderboard,bit,,YES,((1)),NO,NO,
users,createdAt,datetime,,YES,(getdate()),NO,NO,